Rank,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
132,PS2,2002.0,Role-Playing,3.64,1.2,1.49,0.07,6.4
241,PS2,2006.0,Sports,3.63,0.24,0.01,0.61,4.49
193,X360,2010.0,Role-Playing,3.59,1.11,0.05,0.38,5.13
142,X360,2006.0,Shooter,3.54,1.9,0.07,0.6,6.11
208,PS2,2007.0,Misc,3.49,0.01,0.01,1.48,4.98
203,PS,1999.0,Sports,3.42,1.38,0.02,0.2,5.02
209,X360,2008.0,Role-Playing,3.39,1.03,0.09,0.44,4.96
206,PS,1998.0,Platform,3.36,1.36,0.07,0.21,5.0
280,PS2,2002.0,Sports,3.36,0.21,0.01,0.56,4.14
159,X360,2007.0,Adventure,3.28,1.65,0.07,0.55,5.55
105,PS2,2003.0,Racing,3.27,2.83,0.08,1.02,7.2
106,PS,1998.0,Fighting,3.27,2.22,1.4,0.29,7.16
120,PS3,2009.0,Action,3.27,2.25,0.21,1.0,6.73
117,PS,1996.0,Platform,3.23,2.35,0.94,0.3,6.82
194,XOne,2014.0,Shooter,3.21,1.53,0.01,0.38,5.13
238,X360,2007.0,Misc,3.19,0.92,0.01,0.42,4.53
146,PS,1998.0,Action,3.18,1.83,0.78,0.24,6.03
173,X360,2012.0,Action,3.13,1.71,0.03,0.44,5.3
139,PS,1999.0,Action,3.11,2.8,0.02,0.33,6.27
177,X360,2009.0,Action,3.1,1.56,0.08,0.51,5.27
121,PS3,2007.0,Shooter,3.1,2.3,0.28,1.04,6.72
226,PS,2000.0,Sports,3.05,1.41,0.02,0.2,4.68
67,PS,1997.0,Role-Playing,3.01,2.47,3.28,0.96,9.72
48,PS2,2004.0,Racing,3.01,0.01,1.1,7.53,11.66
223,X360,2011.0,Action,2.99,1.31,0.04,0.41,4.76
161,X360,2009.0,Racing,2.99,1.92,0.1,0.51,5.51
55,PS3,2010.0,Racing,2.96,4.88,0.81,2.12,10.77
93,PS4,2015.0,Shooter,2.93,3.29,0.22,1.23,7.67
115,PS2,2002.0,Shooter,2.93,2.75,0.17,0.99,6.83
87,PS2,2001.0,Role-Playing,2.91,2.07,2.73,0.33,8.05
104,PS3,2011.0,Shooter,2.85,2.93,0.35,1.1,7.23
374,X360,2010.0,Action,2.84,0.39,0.03,0.24,3.5
251,X360,2006.0,Role-Playing,2.82,1.05,0.13,0.4,4.39
149,PS3,2008.0,Platform,2.8,2.05,0.17,0.9,5.92
94,PS4,2014.0,Shooter,2.8,3.3,0.14,1.37,7.6
205,PS,1999.0,Strategy,2.79,1.89,0.0,0.33,5.01
124,PS3,2010.0,Action,2.79,2.61,0.17,1.03,6.6
116,PS3,2011.0,Action,2.77,2.8,0.19,1.06,6.83
258,X360,2014.0,Shooter,2.75,1.18,0.0,0.37,4.31
217,PS3,2010.0,Action,2.74,1.36,0.12,0.63,4.84
167,PS3,2008.0,Shooter,2.72,1.87,0.0,0.84,5.43
246,PS2,2005.0,Action,2.71,1.29,0.02,0.43,4.45
114,PS2,2004.0,Racing,2.71,3.02,0.08,1.09,6.9
242,PS2,2002.0,Action,2.71,1.51,0.03,0.23,4.48
160,PS3,2011.0,Action,2.7,1.91,0.11,0.8,5.53
302,X360,2009.0,Shooter,2.67,0.89,0.05,0.37,3.99
249,PS2,2001.0,Sports,2.66,1.29,0.01,0.46,4.41
198,XOne,2014.0,Action,2.66,2.01,0.0,0.41,5.08
370,X360,2008.0,Shooter,2.66,0.5,0.05,0.3,3.52
290,X360,2010.0,Role-Playing,2.65,1.06,0.04,0.33,4.08
261,XOne,2015.0,Shooter,2.64,1.2,0.03,0.39,4.26
129,PS3,2012.0,Action,2.64,2.56,0.16,1.14,6.5
145,PS3,2008.0,Action,2.63,1.74,0.83,0.83,6.03
469,X360,2012.0,Sports,2.6,0.21,0.01,0.19,3.0
221,PS,1999.0,Racing,2.57,1.57,0.44,0.21,4.79
127,PS3,2011.0,Role-Playing,2.55,2.71,0.25,1.05,6.56
157,PS3,2009.0,Action,2.54,1.95,0.21,0.87,5.57
507,X360,2012.0,Sports,2.53,0.16,0.0,0.17,2.86
343,PS2,2002.0,Shooter,2.53,0.81,0.06,0.24,3.65
517,X360,2009.0,Sports,2.52,0.09,0.0,0.22,2.83
260,X360,2008.0,Role-Playing,2.51,1.27,0.11,0.41,4.31
452,PS2,2001.0,Sports,2.5,0.16,0.01,0.42,3.08
155,PS4,2014.0,Shooter,2.49,2.05,0.16,0.96,5.65
315,PS4,2015.0,Sports,2.48,0.65,0.03,0.69,3.85
398,PS,1998.0,Fighting,2.47,0.76,0.0,0.13,3.36
110,PS4,2015.0,Role-Playing,2.47,3.15,0.24,1.1,6.96
288,XOne,2015.0,Role-Playing,2.45,1.26,0.01,0.37,4.09
143,PS2,2001.0,Action,2.45,2.01,0.87,0.72,6.05
556,X360,2011.0,Sports,2.42,0.11,0.0,0.16,2.69
147,PS3,2013.0,Action,2.41,2.28,0.28,1.01,5.99
325,X360,2008.0,Action,2.4,1.03,0.0,0.36,3.78
385,X360,2009.0,Shooter,2.39,0.73,0.03,0.29,3.44
558,X360,2010.0,Sports,2.38,0.12,0.0,0.18,2.69
468,XOne,2015.0,Shooter,2.38,0.32,0.0,0.31,3.0
224,PS,2000.0,Action,2.36,2.1,0.02,0.25,4.73
292,X360,2007.0,Racing,2.35,1.28,0.03,0.41,4.06
419,PS4,2015.0,Sports,2.33,0.3,0.0,0.59,3.22
291,PS2,2007.0,Action,2.32,0.04,0.04,1.67,4.07
211,PS3,2007.0,Action,2.31,1.73,0.12,0.78,4.94
585,X360,2011.0,Sports,2.31,0.14,0.01,0.16,2.62
179,PS,1997.0,Action,2.3,2.46,0.2,0.28,5.24
307,PS2,2003.0,Sports,2.29,1.17,0.01,0.42,3.9
230,PS,1996.0,Action,2.29,1.97,0.13,0.24,4.63
614,X360,2006.0,Role-Playing,2.29,0.02,0.0,0.19,2.5
294,PS,1996.0,Misc,2.28,1.55,0.16,0.06,4.05
88,PS,1999.0,Role-Playing,2.28,1.72,3.63,0.23,7.86
382,XOne,2014.0,Action,2.26,0.89,0.0,0.3,3.46
153,PS,1996.0,Fighting,2.26,1.89,1.36,0.23,5.74
274,X360,2011.0,Action,2.25,1.47,0.04,0.43,4.19
263,PS3,2009.0,Action,2.23,1.34,0.07,0.61,4.25
486,PS2,2003.0,Shooter,2.22,0.51,0.06,0.15,2.94
607,X360,2008.0,Sports,2.21,0.12,0.0,0.2,2.54
256,PS2,2005.0,Role-Playing,2.2,0.58,1.38,0.17,4.33
376,X360,2009.0,Action,2.2,0.97,0.02,0.31,3.5
535,PS2,2001.0,Sports,2.19,0.22,0.0,0.38,2.79
358,PS2,2005.0,Shooter,2.18,1.02,0.03,0.37,3.59
666,X360,2007.0,Sports,2.18,0.01,0.0,0.18,2.37
451,PS2,2002.0,Fighting,2.17,0.28,0.55,0.08,3.09
581,PS2,2004.0,Sports,2.15,0.12,0.0,0.36,2.62
300,PS3,2008.0,Role-Playing,2.15,1.2,0.07,0.59,4.01
428,X360,2010.0,Misc,2.15,0.77,0.01,0.26,3.19
443,PS,1998.0,Racing,2.14,0.86,0.0,0.13,3.12
369,PS,1999.0,Platform,2.14,1.21,0.01,0.17,3.52
366,X360,2013.0,Shooter,2.14,1.08,0.02,0.29,3.53
601,PS2,2007.0,Sports,2.14,0.08,0.0,0.35,2.57
340,PS2,2002.0,Sports,2.13,1.18,0.01,0.35,3.67
411,XOne,2014.0,Shooter,2.13,0.92,0.0,0.23,3.28
314,PS3,2010.0,Sports,2.12,1.14,0.1,0.51,3.87
632,PS,1996.0,Racing,2.12,0.25,0.0,0.07,2.44
318,PS,1995.0,Misc,2.12,1.44,0.22,0.06,3.84
604,PS3,2012.0,Sports,2.11,0.23,0.0,0.22,2.56
372,X360,2009.0,Action,2.11,0.94,0.12,0.34,3.51
647,PS,1996.0,Puzzle,2.1,0.24,0.0,0.07,2.4
626,X360,2013.0,Sports,2.1,0.2,0.0,0.17,2.47
508,XB,2002.0,Role-Playing,2.09,0.63,0.03,0.11,2.86
380,X360,2010.0,Shooter,2.09,1.02,0.04,0.32,3.48
346,PS2,2001.0,Platform,2.08,1.09,0.15,0.33,3.64
303,PS2,2005.0,Misc,2.08,1.35,0.0,0.54,3.98
229,X360,2011.0,Racing,2.08,2.04,0.06,0.47,4.64
351,PS2,2005.0,Action,2.08,0.83,0.46,0.25,3.62
168,PS2,2001.0,Platform,2.07,2.29,0.24,0.82,5.42
646,XOne,2015.0,Sports,2.07,0.08,0.0,0.26,2.4
642,PS2,2001.0,Racing,2.07,0.26,0.0,0.08,2.41
434,PS2,2001.0,Simulation,2.06,0.56,0.38,0.17,3.17
202,PS,1996.0,Action,2.05,1.16,1.11,0.73,5.05
664,PS3,2010.0,Sports,2.04,0.15,0.0,0.19,2.38
670,PS3,2009.0,Sports,2.03,0.13,0.0,0.21,2.37
592,PS2,2004.0,Sports,2.03,0.21,0.0,0.35,2.59
395,X360,2008.0,Action,2.03,1.03,0.0,0.32,3.38
503,PS,1999.0,Shooter,2.03,0.72,0.02,0.11,2.88
253,PS2,2005.0,Racing,2.03,1.79,0.08,0.47,4.37
275,PS3,2009.0,Fighting,2.02,1.06,0.58,0.53,4.19
355,PS2,2001.0,Racing,2.02,1.17,0.0,0.42,3.61
737,X360,2007.0,Misc,2.01,0.02,0.0,0.17,2.2
359,PS,2000.0,Fighting,2.01,1.35,0.06,0.16,3.58
577,PS2,2000.0,Racing,2.0,0.47,0.02,0.14,2.63
569,XB,2004.0,Role-Playing,1.99,0.58,0.0,0.09,2.66
449,X360,2010.0,Role-Playing,1.99,0.82,0.03,0.27,3.11
408,PS2,2001.0,Shooter,1.99,1.05,0.05,0.22,3.31
191,PS2,2003.0,Shooter,1.98,2.23,0.13,0.8,5.13
509,PS3,2011.0,Fighting,1.98,0.55,0.0,0.32,2.85
365,PS2,2005.0,Action,1.98,1.14,0.01,0.41,3.53
533,PS,1996.0,Fighting,1.98,0.7,0.0,0.11,2.79
751,X360,2013.0,Sports,1.97,0.07,0.0,0.13,2.18
169,PS3,2014.0,Misc,1.97,2.51,0.0,0.94,5.42
197,PS3,2009.0,Action,1.96,1.43,1.08,0.65,5.11
530,PS,1998.0,Platform,1.96,0.72,0.0,0.11,2.79
368,PS,2000.0,Action,1.96,1.33,0.0,0.23,3.52
244,PS4,2015.0,Action,1.96,1.69,0.08,0.74,4.47
462,X360,2008.0,Action,1.94,0.8,0.02,0.27,3.03
379,XOne,2015.0,Shooter,1.94,1.22,0.02,0.31,3.49
228,PS2,2002.0,Action,1.94,1.95,0.08,0.7,4.67
458,X360,2012.0,Role-Playing,1.94,0.86,0.03,0.24,3.07
683,XOne,2015.0,Sports,1.93,0.14,0.0,0.24,2.32
719,PS3,2011.0,Sports,1.93,0.15,0.0,0.17,2.25
334,PS,2000.0,Platform,1.93,1.58,0.0,0.19,3.71
353,PS2,2004.0,Shooter,1.93,1.22,0.03,0.44,3.61
625,X360,,Misc,1.93,0.34,0.0,0.21,2.48
175,PS2,2003.0,Role-Playing,1.92,1.08,2.11,0.17,5.29
749,PS2,2002.0,Racing,1.92,0.2,0.0,0.06,2.18
459,X360,2008.0,Action,1.91,0.84,0.0,0.29,3.05
219,PS3,2007.0,Adventure,1.91,2.0,0.09,0.83,4.83
402,X360,2013.0,Action,1.9,1.14,0.01,0.29,3.34
364,PS2,2001.0,Shooter,1.9,1.13,0.1,0.41,3.53
440,XOne,2014.0,Shooter,1.89,0.99,0.03,0.24,3.15
454,X360,2012.0,Shooter,1.89,0.91,0.04,0.24,3.07
412,PS2,2003.0,Action,1.89,1.05,0.02,0.31,3.27
148,PS2,2006.0,Role-Playing,1.88,0.0,2.33,1.74,5.95
152,PS,1998.0,Action,1.88,1.47,2.02,0.45,5.82
515,PS3,2010.0,Action,1.87,0.57,0.11,0.3,2.84
506,XOne,2013.0,Shooter,1.87,0.77,0.0,0.22,2.86
557,PS2,2006.0,Action,1.85,0.64,0.01,0.19,2.69
465,XB,2002.0,Action,1.85,1.04,0.0,0.13,3.02
495,XOne,2014.0,Shooter,1.84,0.8,0.04,0.22,2.9
796,X360,2010.0,Action,1.84,0.12,0.01,0.13,2.09
618,XB,2003.0,Action,1.84,0.56,0.0,0.09,2.49
490,X360,2007.0,Role-Playing,1.83,0.8,0.03,0.27,2.93
326,PS,1996.0,Action,1.82,1.24,0.47,0.25,3.77
388,PS3,2011.0,Platform,1.82,1.07,0.06,0.47,3.42
484,X360,2009.0,Fighting,1.82,0.71,0.15,0.26,2.95
620,PS2,2002.0,Fighting,1.81,0.52,0.0,0.15,2.49
843,X360,2005.0,Shooter,1.81,0.05,0.01,0.15,2.02
567,X360,2008.0,Misc,1.78,0.64,0.0,0.25,2.67
735,X360,2008.0,Misc,1.78,0.24,0.0,0.18,2.2
237,PS4,2014.0,Action,1.78,1.87,0.07,0.82,4.55
350,PS4,2013.0,Shooter,1.78,1.42,0.05,0.38,3.63
429,PS2,2003.0,Action,1.78,1.12,0.09,0.19,3.18
600,X360,2009.0,Role-Playing,1.76,0.56,0.03,0.22,2.57
488,PS3,2009.0,Action,1.76,0.69,0.12,0.37,2.94
424,PS,2000.0,Fighting,1.76,1.21,0.07,0.16,3.2
844,X360,2014.0,Sports,1.76,0.09,0.0,0.17,2.02
926,XB,2005.0,Sports,1.75,0.03,0.0,0.08,1.86
497,X360,2008.0,Sports,1.75,0.86,0.0,0.28,2.9
391,PS2,2004.0,Action,1.75,1.2,0.02,0.43,3.41
526,X360,2008.0,Action,1.74,0.8,0.0,0.26,2.8
652,X360,2010.0,Sports,1.74,0.48,0.0,0.18,2.39
834,PS2,2006.0,Shooter,1.74,0.02,0.0,0.28,2.04
170,PS3,2009.0,Role-Playing,1.74,1.24,1.87,0.52,5.36
254,PS3,2006.0,Shooter,1.73,1.73,0.14,0.75,4.35
225,PS2,2003.0,Racing,1.73,2.19,0.0,0.79,4.7
660,X360,2011.0,Misc,1.73,0.46,0.02,0.18,2.38
955,PS2,2001.0,Misc,1.73,0.07,0.0,0.02,1.82
421,PS,1999.0,Shooter,1.72,1.33,0.0,0.16,3.21
624,PS3,2012.0,Sports,1.72,0.44,0.05,0.27,2.48
442,PS,2000.0,Action,1.7,1.25,0.02,0.16,3.13
580,PS3,2009.0,Action,1.7,0.46,0.06,0.41,2.63
877,PS2,2003.0,Sports,1.69,0.2,0.0,0.06,1.95
446,PS3,2007.0,Role-Playing,1.69,0.87,0.14,0.42,3.12
538,PS2,2003.0,Platform,1.68,0.74,0.0,0.36,2.78
295,PS2,2000.0,Fighting,1.68,1.51,0.51,0.35,4.05
676,X360,2008.0,Racing,1.68,0.46,0.01,0.2,2.35
1005,PS,1998.0,Sports,1.68,0.04,0.0,0.04,1.75
744,XB,2003.0,Role-Playing,1.68,0.44,0.0,0.08,2.19
782,PS2,2002.0,Racing,1.68,0.31,0.02,0.09,2.11
658,PS2,2005.0,Misc,1.67,0.61,0.03,0.07,2.38
1023,PS,1998.0,Sports,1.66,0.04,0.0,0.04,1.74
966,X360,2006.0,Sports,1.66,0.0,0.01,0.13,1.8
363,PS,1997.0,Action,1.66,1.58,0.12,0.18,3.54
516,X360,2007.0,Shooter,1.65,0.86,0.05,0.28,2.83
691,PS,1998.0,Sports,1.65,0.46,0.1,0.1,2.31
786,X360,2011.0,Fighting,1.63,0.33,0.0,0.15,2.11
641,PS2,2003.0,Fighting,1.63,0.22,0.51,0.06,2.41
401,PS,1998.0,Adventure,1.63,1.53,0.0,0.18,3.34
174,PS,2000.0,Role-Playing,1.62,0.77,2.78,0.14,5.3
1040,XB,2004.0,Sports,1.61,0.03,0.0,0.08,1.72
778,PS3,2011.0,Sports,1.61,0.27,0.05,0.18,2.11
984,PS3,2013.0,Sports,1.59,0.03,0.0,0.15,1.77
1076,PS,1997.0,Sports,1.58,0.06,0.0,0.04,1.68
1087,PS,2000.0,Sports,1.58,0.05,0.0,0.04,1.67
689,PS,1999.0,Racing,1.58,0.64,0.0,0.09,2.31
841,PS2,2003.0,Sports,1.57,0.18,0.0,0.27,2.03
360,PS,1997.0,Platform,1.57,1.79,0.0,0.2,3.56
471,PS2,,Fighting,1.57,1.02,0.0,0.41,3.0
912,PS3,2008.0,Sports,1.56,0.15,0.0,0.18,1.89
637,X360,2008.0,Shooter,1.56,0.61,0.02,0.23,2.42
361,PS2,2006.0,Action,1.56,1.4,0.07,0.5,3.54
394,PS,2000.0,Misc,1.56,1.47,0.19,0.17,3.39
583,X360,2010.0,Shooter,1.55,0.81,0.04,0.21,2.62
629,PS3,2008.0,Racing,1.55,0.54,0.05,0.31,2.45
386,PS2,2002.0,Fighting,1.55,1.27,0.33,0.29,3.44
1125,XB,2004.0,Sports,1.54,0.02,0.0,0.07,1.63
810,PS,2002.0,Shooter,1.54,0.46,0.0,0.08,2.07
496,PS2,2004.0,Misc,1.54,1.14,0.0,0.22,2.9
463,PS,1995.0,Platform,1.54,1.33,0.0,0.16,3.03
789,XB,2002.0,Action,1.54,0.44,0.04,0.07,2.1
245,PS3,2014.0,Shooter,1.54,1.94,0.19,0.77,4.45
944,PS2,2005.0,Sports,1.53,0.05,0.0,0.25,1.84
576,X360,2007.0,Action,1.53,0.87,0.0,0.24,2.64
579,X360,2009.0,Strategy,1.53,0.82,0.04,0.24,2.63
892,X360,2008.0,Fighting,1.53,0.24,0.0,0.16,1.93
838,PS4,2014.0,Sports,1.53,0.25,0.0,0.25,2.03
310,PS3,2006.0,Racing,1.53,1.61,0.06,0.67,3.88
717,PS,1997.0,Sports,1.52,0.46,0.2,0.08,2.25
431,PS3,2010.0,Role-Playing,1.52,1.08,0.1,0.47,3.17
550,X360,2011.0,Adventure,1.52,0.94,0.02,0.24,2.72
501,PS2,2004.0,Shooter,1.51,1.12,0.01,0.24,2.89
409,PS2,2003.0,Action,1.5,1.28,0.05,0.46,3.28
759,PS,2000.0,Shooter,1.5,0.55,0.02,0.08,2.15
323,PS4,2015.0,Action,1.49,1.58,0.1,0.61,3.79
551,X360,2006.0,Shooter,1.49,0.93,0.02,0.27,2.71
812,X360,2009.0,Fighting,1.48,0.39,0.0,0.19,2.07
1029,PS,1998.0,Action,1.48,0.2,0.0,0.05,1.73
566,PS2,2005.0,Shooter,1.48,0.92,0.01,0.26,2.67
657,X360,2011.0,Action,1.48,0.71,0.0,0.2,2.39
852,PS3,2008.0,Fighting,1.48,0.3,0.0,0.22,2.0
554,PS4,2015.0,Fighting,1.47,0.76,0.0,0.47,2.7
407,PS2,2005.0,Action,1.47,1.39,0.03,0.43,3.32
840,X360,2011.0,Misc,1.47,0.4,0.0,0.16,2.03
733,XOne,2013.0,Action,1.47,0.55,0.0,0.19,2.21
560,X360,2010.0,Sports,1.46,0.98,0.0,0.24,2.68
266,PS2,2004.0,Action,1.46,0.0,0.83,1.93,4.23
663,PS4,2014.0,Sports,1.46,0.54,0.01,0.37,2.38
1237,PS,1998.0,Racing,1.45,0.04,0.0,0.04,1.52
404,PS2,2002.0,Shooter,1.45,1.29,0.12,0.46,3.33
529,PS3,2011.0,Shooter,1.45,0.88,0.09,0.38,2.79
487,PS2,2005.0,Fighting,1.45,1.11,0.04,0.33,2.94
832,X360,2011.0,Misc,1.45,0.42,0.01,0.16,2.04
732,X360,2010.0,Shooter,1.45,0.55,0.02,0.19,2.21
467,PS2,2002.0,Sports,1.45,1.13,0.07,0.38,3.02
568,PS,1998.0,Shooter,1.44,1.09,0.0,0.14,2.67
633,X360,2011.0,Shooter,1.44,0.73,0.04,0.22,2.44
1121,PS2,2005.0,Sports,1.44,0.15,0.0,0.05,1.64
1224,PS,1998.0,Sports,1.44,0.05,0.0,0.04,1.53
405,PS2,2002.0,Platform,1.44,1.01,0.57,0.3,3.33
540,PS2,2003.0,Platform,1.44,0.83,0.26,0.25,2.78
644,XOne,2014.0,Misc,1.43,0.76,0.0,0.22,2.41
1234,PS,1996.0,Racing,1.43,0.05,0.0,0.04,1.52
825,PS3,2013.0,Sports,1.43,0.33,0.04,0.25,2.05
1238,PS,1998.0,Sports,1.43,0.05,0.0,0.03,1.52
885,PS2,2002.0,Shooter,1.42,0.4,0.0,0.12,1.94
919,PS,1998.0,Fighting,1.42,0.36,0.03,0.07,1.88
884,PS,1997.0,Racing,1.41,0.42,0.03,0.07,1.94
264,PS3,2011.0,Action,1.41,2.02,0.1,0.72,4.24
1250,PS,1997.0,Sports,1.41,0.06,0.0,0.04,1.51
1257,PS,1998.0,Sports,1.41,0.05,0.0,0.04,1.5
542,PS2,2003.0,Simulation,1.41,1.12,0.0,0.24,2.77
1058,PS2,2006.0,Sports,1.41,0.05,0.0,0.23,1.7
967,PS3,2010.0,Action,1.41,0.21,0.03,0.16,1.8
791,X360,2011.0,Shooter,1.41,0.51,0.01,0.17,2.1
281,PS4,2014.0,Action,1.4,1.86,0.11,0.77,4.14
1215,X360,2006.0,Shooter,1.4,0.02,0.02,0.1,1.54
712,PS3,2007.0,Misc,1.4,0.54,0.02,0.3,2.26
464,PS3,2009.0,Shooter,1.4,1.07,0.08,0.47,3.02
597,PS2,2006.0,Fighting,1.4,0.88,0.03,0.26,2.58
698,XB,2004.0,Racing,1.38,0.8,0.0,0.1,2.28
298,PS4,2014.0,Misc,1.38,1.87,0.12,0.65,4.02
1332,PS2,2005.0,Sports,1.38,0.05,0.0,0.02,1.45
460,X360,2012.0,Shooter,1.38,1.35,0.02,0.28,3.04
671,X360,2011.0,Sports,1.38,0.74,0.02,0.22,2.36
622,X360,2008.0,Racing,1.38,0.85,0.0,0.25,2.48
331,PS,2001.0,Action,1.37,2.0,0.14,0.22,3.73
776,XB,2001.0,Racing,1.37,0.61,0.05,0.09,2.12
915,PS,1999.0,Role-Playing,1.37,0.44,0.0,0.08,1.88
476,PS2,2001.0,Action,1.36,0.86,0.64,0.13,2.99
1060,XOne,2014.0,Sports,1.36,0.18,0.0,0.15,1.69
483,PS2,2002.0,Action,1.36,1.15,0.04,0.41,2.96
1097,PS2,2003.0,Sports,1.35,0.09,0.0,0.23,1.67
1358,PS2,2005.0,Sports,1.35,0.05,0.0,0.02,1.42
387,PS4,2013.0,Shooter,1.34,1.54,0.17,0.38,3.43
708,PS3,2009.0,Misc,1.34,0.62,0.0,0.31,2.27
937,PS2,2004.0,Platform,1.33,0.49,0.0,0.03,1.85
308,PS3,2013.0,Action,1.33,1.71,0.13,0.73,3.89
1292,X360,2006.0,Fighting,1.33,0.03,0.01,0.1,1.47
478,PS3,2010.0,Shooter,1.33,1.12,0.08,0.45,2.97
948,PS,1996.0,Racing,1.33,0.4,0.03,0.07,1.83
1132,X360,2014.0,Sports,1.33,0.14,0.0,0.15,1.63
1190,PS,1995.0,Action,1.32,0.19,0.0,0.05,1.56
519,PS2,2002.0,Fighting,1.32,1.08,0.04,0.39,2.83
525,PS2,2003.0,Fighting,1.32,1.06,0.04,0.38,2.8
1133,PS2,2004.0,Sports,1.32,0.09,0.0,0.22,1.62
598,PS2,2004.0,Platform,1.31,0.74,0.31,0.22,2.57
873,X360,2014.0,Shooter,1.3,0.49,0.0,0.16,1.95
1152,PS2,2005.0,Action,1.3,0.23,0.0,0.07,1.6
333,PS,1999.0,Action,1.3,0.77,1.54,0.11,3.72
1243,XOne,2014.0,Sports,1.3,0.09,0.0,0.12,1.51
337,PS3,2013.0,Shooter,1.3,1.51,0.27,0.61,3.69
272,PS4,2016.0,Shooter,1.3,2.07,0.18,0.65,4.2
448,PS3,2010.0,Adventure,1.29,1.27,0.06,0.5,3.12
1439,PS,1997.0,Sports,1.29,0.03,0.0,0.03,1.35
352,PS4,2016.0,Shooter,1.28,1.61,0.15,0.57,3.61
273,PS3,2007.0,Racing,1.28,1.83,0.57,0.53,4.2
518,PS3,2010.0,Shooter,1.28,1.05,0.07,0.43,2.83
681,X360,2010.0,Simulation,1.27,0.86,0.0,0.2,2.33
990,PS,1998.0,Fighting,1.27,0.42,0.0,0.07,1.76
1468,PS2,2004.0,Platform,1.27,0.05,0.0,0.02,1.33
418,PS3,2011.0,Adventure,1.27,1.33,0.12,0.51,3.23
754,X360,2010.0,Role-Playing,1.27,0.68,0.01,0.2,2.17
539,PS4,2014.0,Action,1.27,0.97,0.07,0.47,2.78
795,PS2,2003.0,Action,1.26,0.6,0.05,0.18,2.09
1217,PS2,2005.0,Sports,1.26,0.07,0.0,0.21,1.54
1242,PS2,2002.0,Action,1.26,0.05,0.0,0.21,1.51
1160,PS2,2004.0,Sports,1.26,0.12,0.0,0.21,1.59
